sc001000_.SC,아스모데우스 : 난 아케론을 관장하는 최후의 심판자이다. 나를 쓰러뜨려야만 아케론을 통과하여 천년의 안식처로  갈 수 있다.,,Asmodeus: I am the judge of the last governing ahkeron. Tteuryeoya me down but you can go through the ahkeron a haven for thousands of years.,Asmodeus: I am the judge of the last governing ahkeron. Tteuryeoya me down but you can go through the ahkeron a haven for thousands of years.
sc001000_.SC,"아렌트 : 내가 가야 할 길을 방해하지 말아라. 난 이 문 뒤에 숨겨진 처절한  지옥을 봐야만 하고, 지옥속에 숨겨진 진실을 찾기 위해 가는 것이다.",,"Arendt: I do not interfere with the way to go. I will go to find the truth hidden in the bloody hell have to see the hidden behind the door, and hell.","Arendt: I do not interfere with the way to go. I will go to find the truth hidden in the bloody hell have to see the hidden behind the door, and hell."
sc001000_.SC,아스모데우스 : 허튼소리! 너 같은 놈에게 지옥을 넘겨줄 순 없다!,,Asmodeus: Crap! Not in order to betray him to hell like you!,Asmodeus: Crap! Not in order to betray him to hell like you!
sc001000_.SC,아렌트 : 나의 아버지 란포드경이여. 아들 아렌트가 진실을 찾으러 갑니다!,,Arendt: O my father ranpo Sir Roland. Arendt son goes to find the truth!,Arendt: O my father ranpo Sir Roland. Arendt son goes to find the truth!
sc001000_.SC,지옥으로 가는길,,The Road to Hell,The Road to Hell
sc001000_.SC,신관 1 : 신성한 모노리스의 신전에 들어온 그대여. 그대가 이곳에 온 목적이 무엇이냐?,,ANNEX 1: geudaeyeo entered the temple of the sacred monolith. What is the purpose you came here?,ANNEX 1: geudaeyeo entered the temple of the sacred monolith. What is the purpose you came here?
sc001000_.SC,아렌트 : 란포드경을 찾아 천년의 안식처로 가는 것이다.,,"Arendt: to find a way to ranpo Sir Roland, a haven for thousands of years.","Arendt: to find a way to ranpo Sir Roland, a haven for thousands of years."
sc001000_.SC,신관 1 : 란포드경은 이미 이곳을 통과하여 천년의 안식처로 향했다. 란포드경은 이곳을 통과할 만한 합당한 자격을 갖추었도다.,,Fuse 1: ranpo de diameter have passed the place headed for the rest of thousands of years. Ranpo de Lord hath equipped reasonable deserve to pass here.,Fuse 1: ranpo de diameter have passed the place headed for the rest of thousands of years. Ranpo de Lord hath equipped reasonable deserve to pass here.
sc001000_.SC,신관 1 : 만약에 그대가 이곳을 통과할 합당한 조건을 갖추었다면 그대도 우리의  심판을 거쳐 천년의 안식처로 향할 수 있도다. 우리의 심판을 맞을 준비를 하거라.,,ANNEX 1: If You Had meets the proper criteria to cross it on Wo You can also head to the Millennium haven after our judgment. Pour the ready to fit our judgment.,ANNEX 1: If You Had meets the proper criteria to cross it on Wo You can also head to the Millennium haven after our judgment. Pour the ready to fit our judgment.
sc002000_.SC,아렌트 : 카콘시스 교황이시여!  부름을 받고 왔습니다.,,Arendt: kakon system pope O! It has been called.,Arendt: kakon system pope O! It has been called.
